run_id;run_name;frame_start;frame_end;fish_ids;error_type;what_went_wrong
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;790;860;1,3;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;1178;1264;1,3;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;1744;1805;2,4;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;1969;2311;1;missing_track;"ish clearly visible on right side but tracker drew no box at all -> not even ""lost"" , for ~10 seconds"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;2521;2565;2;reflection_confusion;"Box briefly attaches to the fish's own reflection instead of the real fish; typically self-corrects within a few frames"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;2600;2690;1;missing_track;"fish clearly visible on right side but tracker drew no box at all -> not even ""lost"" for 90 frames"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;2673;2686;2;occlusion_recovery;Fish 2 recovered from occlusion but matched onto the nearest detection instead of its own body -> landed on Fish 1 (untagged at the time). Recovery matching is position-only, no identity check.
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;2693;3300;1;missing_track;"fish clearly visible on right side but tracker drew no box at all -> not even ""lost"" for at least 600 frames but when the fish passes again where the tag got lost it regains its tag"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;3529;3549;1,2;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;3850;4000;1,2;occlusion_recovery;"Fish 1 emerged from occlusion at 3858, grabbed Fish 2's tag at 3861; IDs flickered back and forth repeatedly (3871, 3877, 3890...) while Fish 1's original track sat ""lost"" near the occlusion spot the whole time; stabilized only at 3989 when Fish 1 happened to swim back near where it first vanishe"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;4230;4351;1,2;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs. A lot of flickering but evenually wrong tag"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;4825;4849;1,4;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs. A lot of flickering but evenually wrong tag"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;5002;5074;1,2;crossing;"Fish got close/overlapped but did not actually cross paths; tracker incorrectly swapped their IDs. A lot of flickering but evenually wrong tag"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;5570;6417;2,4;"occlusion_recovery	";"Fish 2 emerged from behind the pipe at ~5581 and immediately full-swapped with the nearby Fish 4 (not a one-sided grab like before -> both tags flipped simultaneously: real Fish 4's body became labeled ""2"", real Fish 2's body became labeled ""4""). Mislabeling persisted unnoticed through 5665. Got messier ~5793 (tag lost again). At 6217, whichever fish was wearing tag ""2"" handed it off again to a different untagged fish, losing its own tag a second time. Finally stabilized at 6417 when the long-untagged fish happened to swim back near where a tag was originally dropped and reclaimed it as ""Fish 4."" ~840 frames (14s) of instability from one triggering event."
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;5805;5850;2;reflection_confusion;In the middle of the above chaos, Fish 2's tag briefly jumped onto a reflection (~5812), then returned to the real fish by 5846 -> a self-contained sub-glitch nested inside the larger occlusion_recovery incident.
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;7150;7300;4;missing_track;"Dashed ""lost"" box stayed frozen at Fish 4's last known position while the real fish was clearly visible swimming elsewhere in open water -> zero box on its actual position for the whole window, until it gained a (wrong) tag at 7290"
1;stage5_tracker_IMG_2349_as_3r_4r_5r_8c_2026_07_06_1853;"7290	";"7346	";2,4;"occlusion_recovery	";"As the long-""lost"" Fish 4 track drifted close to the confirmed Fish 2, it briefly stole Fish 2's tag (Fish 2 went untagged for a moment), then snapped back to the correct assignment by ~7332. The real Fish 4 body stayed untagged until it happened to swim back near where its own tag was originally dropped, finally reclaiming ""Fish 4"" at frame 7346."
